"","date","confirmed","death","recovered"
"1",2020-01-22,555,17,28
"2",2020-01-23,98,1,2
"3",2020-01-24,288,8,6
"4",2020-01-25,493,16,3
"5",2020-01-26,684,14,13
"6",2020-01-27,809,26,9
"7",2020-01-28,2651,49,46
"8",2020-01-29,588,2,19
"9",2020-01-30,2068,38,17
"10",2020-01-31,1693,42,79
"11",2020-02-01,2111,46,62
"12",2020-02-02,4749,103,188
"13",2020-02-03,3094,64,151
"14",2020-02-04,4011,66,229
"15",2020-02-05,3744,72,272
"16",2020-02-06,3182,70,363
"17",2020-02-07,3574,85,524
"18",2020-02-08,2729,87,605
"19",2020-02-09,3030,100,628
"20",2020-02-10,2612,107,702
"21",2020-02-11,2040,100,737
"22",2020-02-12,419,5,467
"23",2020-02-13,15148,253,1145
"24",2020-02-14,6517,152,1763
"25",2020-02-15,2145,143,1337
"26",2020-02-16,2194,104,1470
